uniq_id,product_name,manufacturer,amazon_category_and_sub_category,price,number_available_in_stock,type_available_in_stock,number_of_reviews,number_of_answered_questions,average_review_rating
ac03772e8a95f572f9f7a721ca4a67ba,One Piece Chibi-Arts Action Figure: Portgas D. Ace 10 cm,Bandai,Figures & Playsets > Science Fiction & Fantasy,30.47,17.0,new,1.0,2.0,5.0
c867b12cc913406405a97f386f1b71ab,"Star Wars The Empire Strikes Back Boba Fett Armour Up 3.75"" Action Figure Disney Hasbro",Star Wars,Characters & Brands > Disney > Toys,20.97,6.0,new,1.0,2.0,5.0
3781e4019036810064de27fa44ac182c,A Nightmare on Elm Street - Freddy Krueger Bobble Head,Wacky Wobbler,Hobbies > Collectible Figures & Memorabilia > Bobbleheads & Busts,12.99,14.0,new,9.0,2.0,4.3
8c25c288de5d5a9064ff685a00056cd4,DC Collectibles Comics Super Villains Black Adam Action Figure,DC Comics,Hobbies > Collectible Figures & Memorabilia > Collectible Props & Memorabilia,24.99,7.0,new,2.0,2.0,5.0
09cf5ae7c55f9084bbddf9cf1fe85843,Star Wars Saga Collection Republic Commando Delta Squad Battle Pack,Hasbro,Characters & Brands > Star Wars > Toys,230.11,2.0,new,2.0,2.0,5.0
1ac88e32dfc8b20bac31257bd57b10f9,Star Wars The Black Series The Force Awakens 6-Inch GUAVIAN ENFORCER Figure,Star Wars,Characters & Brands > Star Wars > Toys,32.36,3.0,new,1.0,1.0,4.0
012db944689041827a2819422dd7bcc5,Harry Potter - Felix Felicis Pendant and Display,Harry Potter,Characters & Brands > Harry Potter > Toys,34.26,11.0,new,8.0,1.0,4.5
c00f6b4a4f49f54cb7016cafcb6a1865,Fisher-Price Imaginext Bat Cave,Mattel,Figures & Playsets > Science Fiction & Fantasy,85.84,3.0,new,145.0,2.0,4.2
87ea0ff4376992ef4e02377a3169a1c5,Dc Comics Dark Knight Joker Miracle Action Figure,DC Comics,Figures & Playsets > Science Fiction & Fantasy,30.99,36.0,new,4.0,2.0,4.0
dddb0b251db0f85bfb4ed20777d4804a,Neca Dawn of the Planet of the Apes 7-Inch Scale Koba Action Figure,NECA,Figures & Playsets > Science Fiction & Fantasy,19.95,10.0,new,2.0,2.0,4.0
44b01aa5d0477330fc03a73602c0b092,Star Wars Saga Collection #060 Clone Trooper Sergeant Action Figure,Hasbro,Characters & Brands > Star Wars > Toys,17.99,5.0,new,1.0,2.0,5.0
d8be603a85fe999fc727ce36ea35d358,Star Wars: Biker Scout,POP! Vinyl,Characters & Brands > Star Wars > Toys,11.49,14.0,new,12.0,2.0,4.3
5641b31ee27502b386afe98e4c9c558c,Star Wars The Force Awakens 3.75-Inch Figure Desert Mission Finn (Jakku),Star Wars,Characters & Brands > Star Wars > Toys,9.45,11.0,new,2.0,2.0,4.5
f0abb18d7ac0b19baf77836ba01eefc5,Littlest Pet Shop Figures Themed Playset Garden Sleepover Star Gazin Pets,Hasbro,Characters & Brands > Hasbro,30.0,2.0,new,2.0,2.0,4.5
a9b092ea799dff7d29e2643d2e62b774,Transformers Takara Re-Issue Collector's Series #8 Inferno with Bumpersticker,Transformers,Figures & Playsets > Science Fiction & Fantasy,48.39,8.0,new,1.0,2.0,5.0
