uniq_id,product_name,manufacturer,amazon_category_and_sub_category,price,number_available_in_stock,type_available_in_stock,number_of_reviews,number_of_answered_questions,average_review_rating
2803c7d16875840681be82277d4d3a93,Scalextric 1:32 Scale GP Legends Maserati 250F Limited Edition Slot Car,Scalextric,"Hobbies > Slot Cars, Race Tracks & Accessories > Slot Cars",35.95,6.0,new,2.0,1.0,4.5
bcb86a9459e6f7f341396ac7e3933dfd,Anbee® FPV 5.8Ghz Circular Polarized Clover Leaf Antenna High Gain Aerial Set w/RP-SMA Plug,Anbee,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,6.8,2.0,new,3.0,1.0,4.0
a46dc919e9721c4c3e10033d8c201212,Syma Marines Cobra Attack 3 Channel Remote Control Helicopter,Syma,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,24.99,3.0,new,1.0,1.0,5.0
8020c8cd2b86bd2e793241dd321d8921,Parrot Bebop Drone 2 (White),Parrot,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,439.95,11.0,new,9.0,3.0,3.3
a55dcf8ba5c4623245b508629e72342b,4Ch 2.4Ghz Mini Radio Single Propeller Rc Helicopter Gyro V911 Rtf Outdoor # 02 By BuyinCoins,BuyinCoins,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,29.0,4.0,new,9.0,3.0,4.4
1a4961297aa9be1b2f7232d3bf194e12,Cheerson CX-20 Open Source Auto-Pathfinder & GPS 2.4G Remote Control RC Quadcopter Upgraded to FPV VS DJI Phantom 2,Cheerson,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,218.3,4.0,new,3.0,3.0,5.0
581ac0d745f5d798906a63542ff3446a,Syma X5SW 4CH 6-axis Gyro RC RTF Wifi Quadcopter with 0.3MP Camera,Syma,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,43.0,3.0,new,1.0,3.0,5.0
140039c85ad817601250a09dcc65b8da,The Hubsan X4 H107C Quadcopter Black/Green Crash Pack,Hubsan,Hobbies > Remote Controlled Devices > Parts & Accessories,9.19,8.0,new,70.0,3.0,4.4
02e4c150ca1529ef841593444a6cc27f,Syma S107C 3 Channel RC Helicopter With Camera & Gyroscope Stability Control,SA,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,35.0,3.0,new,5.0,3.0,4.2
c9448b885a2296b9563405d219e666cc,iParaAiluRy 3DR Radio Telemetry Module 433Mhz up to 20dBm Open source for APM 2.5 2.6 2.8,iParaAiluRy,Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,19.64,2.0,new,1.0,3.0,5.0
