uniq_id,product_name,manufacturer,amazon_category_and_sub_category,price,number_available_in_stock,type_available_in_stock,number_of_reviews,number_of_answered_questions,average_review_rating
995777a914a1edb958a0da25b145643b,Gaugemaster Single Track Controller/ Plug in Transformer,Gaugemaster,Hobbies > Model Trains & Railway Sets > Lighting & Signal Engineering > Transformers & Decoders,39.03,3.0,new,6.0,1.0,4.8
590ad6c0f9bdbbac7887ec4e36eb08a0,Hornby Railroad 00 Gauge LNER Class A1 Flying Scotsman with TTS Sound Steam Locomotive,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,98.5,9.0,new,6.0,1.0,4.7
6d73a76c4ee846231cbb889d6b09182c,Kato 10-847 E259 Narita Express 3 Car Powered Set,Kato,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,51.61,33.0,new,1.0,1.0,5.0
5152452656955a9bf425a11ba221f016,Hornby R3064 RailRoad BR Smokey Joe 00 Gauge Steam Locomotive,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,30.99,7.0,new,38.0,1.0,4.6
d160b9ad8d9c7c7ed1c207a77e9934cc,Roco 10908 Seuthe Smoke Oil,Roco,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,6.5,2.0,new,3.0,1.0,4.7
f02b2132fcb3460565b5de94c05be8a8,Subway train 500 form three-car basic set red gauge N 10-1134 Marunouchi Line,CATO,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,45.75,13.0,new,1.0,1.0,5.0
46c4c76cc40741ab53a8135b42e253c6,Dapol B800 Motorised Track Cleaning Wagon,Dapol,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,74.6,4.0,new,7.0,1.0,4.6
28ae83ef10dfcb3959d67de2c4587123,Hornby R1174 Breakdown Hauler Train Set,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,74.99,3.0,new,4.0,1.0,4.8
7370f538e03a2b5c543d9ab551c41385,[NEW] Pureoroko C-58 water steam [NEW],Train,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,27.6,19.0,new,1.0,1.0,5.0
7ac9dab2688ccf3cc7c8841b00e6c828,Kato 11-105 Small Type Moter Unit (for Bandai's B-train Shorty),Kato,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,11.01,27.0,new,3.0,1.0,5.0
65946ec2a36d8c4c7dc4f324ec27d6cf,Class 47 47365 'Diamond Jubilee' BR Railfreight Distribution,Bachmann,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,100.0,2.0,new,1.0,1.0,4.0
194f1b693807e89a41dbe61ef6cbb55c,Piko H0 57633 H0 2.Kl. Personenwagen der DR B 2. Klasse der DR,Piko,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,15.75,3.0,new,1.0,1.0,5.0
c2f2229faa77de1279f2f72649ae3bb4,Hornby 00 Gauge 152mm GNR 0-6-2T Steam Locomotive Model,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,89.99,3.0,new,1.0,1.0,5.0
cea1292c07ce1d353f3a9d0d89086ee2,Dapol C102A 57ft Stanier Corridor Brake LMS Maroon Lined 5530 Kit,Dapol,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,12.3,2.0,new,1.0,1.0,4.0
9eab0ff60b4865bc7a90a7d8770b88cf,Corgi 1:120 Scale Rail Legends 'Trigo' A3 Class Die Cast Stream Locomotive,Corgi,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,14.99,12.0,new,6.0,1.0,5.0
799312a77b6debd51fa5a264a248ccc7,Märklin my world Battery Operated Signal,Märklin my world,Hobbies > Model Trains & Railway Sets > Lighting & Signal Engineering > Signal & Sound,7.99,10.0,new,1.0,1.0,5.0
e8b32f46fd73960da6bbfdb019df7a36,Bachmann 35-077 Class E4 0-6-2 32556 BR Black Early Emblem,Bachmann,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,104.66,4.0,new,2.0,1.0,5.0
4b15acfc7dc8ff73020661531b9c3a3d,Thomas and Friends Track Master Dockside Delivery Crane Cargo and Cars Set,Mattel,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,13.87,6.0,new,1.0,1.0,5.0
cf8cbdc12ebc3f75dc145f2b665b429b,20Pcs Single-Head Model Garden Lights Lamppost Lamp Layout Scale: 1/100--Black,Generic,Hobbies > Model Trains & Railway Sets > Lighting & Signal Engineering > Lamps & Lighting,2.98,6.0,new,4.0,1.0,5.0
f4ca4da2c5a13cca69817062f48749b7,Hornby 00 Gauge BR Peppercorn Class A1 Tornado Mainline Blue Sound Steam Locomotive,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,129.95,3.0,new,9.0,1.0,4.2
30cba4e49bcc047cd9d95f9e41105b11,Hornby '00' Gauge R3169 RailRoad GWR 4-6-0 'Olton Hall' 4900 Hall Class Locomotive,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,65.76,9.0,new,1.0,1.0,5.0
f64ee770588c055e6119febff3824e9b,Hornby R3162A BR 2-BIL 2 Car EMU Pack,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,116.1,5.0,new,1.0,1.0,5.0
60ca5f456176a27b44eef289edfc942e,Hornby 00 Gauge 152mm BR 0-6-2T Steam Locomotive Model,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,89.99,2.0,new,1.0,1.0,5.0
1e65ddc95b48bf211707ca91df150a88,Power Trains 2 Pack - Graffiti Freight,Power Trains,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,8.99,3.0,new,1.0,1.0,5.0
5a56f5c490ca74ae48156a90eda82e34,Carousel Wooden Train Set (100 Piece),Carousel,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,36.35,5.0,new,8.0,1.0,4.1
780044f0f8212723081813f438ca0cee,Hornby '00' Gauge R3231 BR 0-6-0 J15 Class - Early BR Steam Locomotive,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,105.0,2.0,new,1.0,1.0,5.0
bb2466d62f3fdc9510272ee5233694d3,Walthers Trainline 931-1676 TL 50' PD Boxcar ATSF,Walthers Trainline,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,15.0,2.0,new,1.0,1.0,5.0
4fe3fc492f715044ca59b0c4d5f53e72,"Series 225-5000 [Kansai Airport, Kishu-ji Rapid Service] (4-Car Set) (Model Train)",Kato,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,163.88,5.0,new,1.0,1.0,5.0
3612a6c82b71b6f304ed36b7e48b1e38,Lightweight HyDroc,Woodland Scenics,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,14.57,6.0,new,1.0,1.0,5.0
142f98f4a806c7c5d7bdfc3f2417e865,Hornby '00' Gauge R4526 RailRoad Night Mail Operating Mail - GWR Chocolate and Cream Coach,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,21.95,6.0,new,4.0,1.0,4.8
9c2578668630183035ebdaf8fcf3e84e,Hornby West Coast Highlander,Hornby,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,49.99,4.0,new,18.0,1.0,4.6
bb1a0e743e6b9d6e94f1e46e1f6a0ea3,Ratio 476 LMS Round Post Signal Kits,Ratio,Hobbies > Model Trains & Railway Sets > Lighting & Signal Engineering > Signal & Sound,10.69,2.0,new,2.0,1.0,5.0
3838fe1a007c0907a56154b65f672414,N gauge 10-1221 E7 system Hokuriku Shinkansen basic set (3 cars),Kato,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Locomotives,70.5,19.0,new,2.0,1.0,5.0
1b630a8cf3a61521966e86ba1ef37ecf,BR Mk1 SLF Sleeper Car Maroon,RAILWAY - BACHMANN,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,33.99,2.0,new,1.0,1.0,4.0
2e258ccf78b2caa2dbb558f466de3df4,Kato 23-233 Wooden Station & Buildings,Kato,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,20.31,35.0,new,2.0,1.0,5.0
95ddb46815960a546e22a653fbb300e8,Peco ST-3 Setrack 1st Radius Standard Curve,Peco,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,1.95,5.0,new,2.0,1.0,4.5
